name,type,gradeLow,gradeHigh,address,zip
Academy of Entrepreneurship Studies Middle,Middle,5,8,3021 Hickory,63104
Adams,Elementary,-1,6,1311 Tower Grove Ave.,63110
Ames VPA,Elementary,-1,5,2900 Hadley,63107
Ashland,Elementary,-1,6,3921 N. Newstead,63115
Bryan Hill,Elementary,-1,5,2128 Gano,63107
Buder,Elementary,-1,5,5319 Lansdowne Ave.,63109
Busch School of Character,Middle,6,8,5910 Clifton,63109
CAJT @ Nottingham,High,9,12,4915 Donovan Ave.,63109
Carnahan High School of the Future,High,9,12,4041 S. Broadway,63118
Carr Lane VPA,Middle,6,8,1004 N. Jefferson,63106
Carver,Elementary,-1,4,3325 Bell Ave.,63106
Central VPA,High,9,12,3125 S. Kingshighway,63139
Clay,Elementary,-1,5,3820 N. 14th St.,63107
Cleveland  NJROTC,High,9,12,4939 Kemper Ave.,63139
Clyde C. Miller Career Academy,High,9,12,1000 N. Grand,63106
Collegiate School of Medicine & Bioscience,High,9,12,1547 S. Theresa,63104
Columbia,Elementary,-1,6,3120 St. Louis Ave.,63106
Compton-Drew ILC,Middle,6,8,5130 Oakland,63110
Cote Brilliante,Elementary,-1,6,2616 Cora Ave.,63113
Dewey IS,Elementary,-1,5,6746 Clayton,63139
Dunbar,Elementary,-1,6,1415 N. Garrison Ave.,63106
Educational Therapeutic School @ Madison,Alternative,-1,8,1118 S. 8th,63104
Fanning,Middle,6,8,3417 Grace Ave.,63116
Farragut,Elementary,-1,6,4025 Sullivan Ave.,63107
Ford,Elementary,-1,6,1383 Clara Ave.,63112
Fresh Start @ Sumner,Alternative,99,99,4268 W. Cottage Ave.,63113
Froebel Literacy Academy,Elementary,-1,6,3709 Nebraska Ave.,63118
Gateway Math & Science Preparatory,Middle,6,8,1200 N. Jefferson,63106
Gateway MST Elementary,Elementary,-1,5,4 Gateway Dr.,63106
Gateway STEM Academy,High,9,12,5101 McRee,63110
Gateway-Michael,Elementary,-1,8,2 Gateway Dr.,63106
Griscom,Alternative,5,12,3847 Enright Ave.,63108
Hamilton,Elementary,-1,5,5819 Westminster Pl.,63112
Herzog Academy,Elementary,0,5,5831 Pamplin Pl.,63147
Hickey,Elementary,-1,5,3111 Cora Ave.,63115
Hodgen College Bound Academy,Elementary,-1,6,1616 California,63104
Humboldt Academy of Higher Learning,Elementary,3,5,2516 S. 9th St.,63104
Innovative Concept Academy @ Blewitt,Alternative,9,12,1927 Cass Ave.,63107
Jefferson,Elementary,-1,6,1301 Hogan St.,63016
Kennard CJA,Elementary,-1,5,5031 Potomac,63139
Laclede,Elementary,-1,5,5821 Kennerly Ave.,63112
Langston,Middle,6,8,5511 Wabada Ave.,63112
Lexington,Elementary,-1,5,5030 Lexington Ave.,63115
Long,Middle,6,8,5028 Morganford Rd.,63116
Lyon Academy @ Blow,Elementary,-1,8,516 Loughborough,63111
Mallinckrodt Academy of Gifted Instruction,Elementary,-1,5,6020 Pernod,63139
Mann,Elementary,-1,5,4047 Juniata St.,63116
Mason School of Academic and Cultural Literacy,Elementary,-1,6,6031 Southwest Ave.,63139
McKinley CJA,Middle,6,8,2156 Russell Blvd.,63104
McKinley Leadership Academy,High,9,12,2156 Russell,63104
Meramec,Elementary,-1,5,2745 Meramec St.,63118
Metro A&C,High,9,12,4015 McPherson,63108
Monroe,Elementary,-1,6,3641 Missouri Ave.,63118
Mullanphy ILC,Elementary,-1,5,4221 Shaw Blvd.,63110
Nahed Chapman New American Academy,Alternative,0,10,1616 S. Grand,63104
Nance,Elementary,-1,6,8959 Riverview Blvd.,63147
Northwest Law Academy,High,9,12,5140 Riverview Blvd.,63120
Oak Hill,Elementary,-1,5,4300 Morganford Rd.,63116
Pamoja @ Cole,Elementary,-1,8,3935 Enright Ave.,63108
Patrick Henry Downtown Academy,Elementary,-1,6,1220 N. 10th St.,63112
Peabody,Elementary,-1,5,1224 S. 14th St.,63104
Roosevelt,High,9,12,3230 Hartford Ave.,63118
Shaw VPA,Elementary,-1,5,5329 Columbia,63139
Shenandoah,Elementary,-1,6,3412 Shenandoah Ave.,63104
Sigel,Elementary,-1,6,2050 Allen Ave.,63104
Soldan IS,High,9,12,918 N. Union,63108
Stix ECC,Elementary,-1,2,647 Tower Grove,63110
Sumner,High,9,12,4268 W. Cottage Ave.,63113
Vashon,High,9,12,3035 Cass Ave.,63106
Walbridge,Elementary,-1,5,5000 Davison Ave.,63120
Washington Montessori,Elementary,-1,5,1130 N. Euclid,63113
Wilkinson ECC @ Roe,Elementary,-1,2,1921 Prather,63139
Woerner,Elementary,-1,5,6131 Leona,63116
Woodward,Elementary,-1,5,725 Bellerive Blvd.,63111
Yeatman/Liddell Preparatory,Middle,7,8,4265 Athlone Ave.,63115
